train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
0.5578224658966064,1.0,0,6,,,,
,,0,6,0.4541681110858917,0.9629629850387573,,
0.22990988194942474,1.0,1,13,,,,
,,1,13,0.3150174915790558,0.8888888955116272,,
0.4284334182739258,0.8461538553237915,2,20,,,,
,,2,20,0.35568809509277344,0.8518518805503845,,
0.3973928689956665,0.7692307829856873,3,27,,,,
,,3,27,0.1668412834405899,1.0,,
0.1405543088912964,1.0,4,34,,,,
,,4,34,0.1388433426618576,1.0,,
0.3453752100467682,0.9230769276618958,5,41,,,,
,,5,41,0.13531619310379028,0.9629629850387573,,
0.3478493392467499,0.8461538553237915,6,48,,,,
,,6,48,0.11269475519657135,1.0,,
0.1887759417295456,0.9230769276618958,7,55,,,,
,,7,55,0.09517623484134674,1.0,,
0.26953238248825073,0.8461538553237915,8,62,,,,
,,8,62,0.11934471130371094,0.9629629850387573,,
0.14145463705062866,1.0,9,69,,,,
,,9,69,0.0837922990322113,1.0,,
0.11692952364683151,0.9230769276618958,10,76,,,,
,,10,76,0.07606135308742523,1.0,,
0.21967634558677673,0.9230769276618958,11,83,,,,
,,11,83,0.07013745605945587,1.0,,
0.04084257408976555,1.0,12,90,,,,
,,12,90,0.06895185261964798,1.0,,
0.062132690101861954,1.0,13,97,,,,
,,13,97,0.058019574731588364,1.0,,
0.09325405210256577,1.0,14,104,,,,
,,14,104,0.053236935287714005,1.0,,
0.05834033712744713,1.0,15,111,,,,
,,15,111,0.05040309205651283,1.0,,
0.09223008155822754,0.9230769276618958,16,118,,,,
,,16,118,0.04698818549513817,1.0,,
0.014182553626596928,1.0,17,125,,,,
,,17,125,0.045786015689373016,1.0,,
0.11128287017345428,1.0,18,132,,,,
,,18,132,0.045336347073316574,1.0,,
0.05899907648563385,1.0,19,139,,,,
,,19,139,0.04252708703279495,1.0,,
,,20,140,,,0.06402278691530228,1.0
