train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
0.37688586115837097,0.9230769276618958,0,6,,,,
,,0,6,0.35319116711616516,0.9259259104728699,,
0.27768856287002563,0.9230769276618958,1,13,,,,
,,1,13,0.2492251992225647,1.0,,
0.3452054560184479,0.7692307829856873,2,20,,,,
,,2,20,0.1905902922153473,1.0,,
0.18816691637039185,0.9230769276618958,3,27,,,,
,,3,27,0.1488608568906784,1.0,,
0.11928007006645203,1.0,4,34,,,,
,,4,34,0.13012388348579407,1.0,,
0.19911612570285797,0.9230769276618958,5,41,,,,
,,5,41,0.11596959084272385,1.0,,
0.21192052960395813,0.9230769276618958,6,48,,,,
,,6,48,0.11463717371225357,1.0,,
0.09829945117235184,1.0,7,55,,,,
,,7,55,0.0894353985786438,1.0,,
0.13717171549797058,1.0,8,62,,,,
,,8,62,0.07942752540111542,1.0,,
0.2189594954252243,0.9230769276618958,9,69,,,,
,,9,69,0.09243100881576538,1.0,,
0.06070558354258537,1.0,10,76,,,,
,,10,76,0.07163332402706146,1.0,,
0.12267255783081055,1.0,11,83,,,,
,,11,83,0.08148957788944244,1.0,,
0.09702834486961365,1.0,12,90,,,,
,,12,90,0.05846028029918671,1.0,,
0.06525147706270218,1.0,13,97,,,,
,,13,97,0.07011226564645767,1.0,,
0.08416951447725296,1.0,14,104,,,,
,,14,104,0.051739152520895004,1.0,,
0.16545285284519196,0.9230769276618958,15,111,,,,
,,15,111,0.09202507883310318,1.0,,
0.059920039027929306,1.0,16,118,,,,
,,16,118,0.05211903527379036,1.0,,
0.050109848380088806,1.0,17,125,,,,
,,17,125,0.044622402638196945,1.0,,
0.13783350586891174,0.9230769276618958,18,132,,,,
,,18,132,0.04175993427634239,1.0,,
0.01720884069800377,1.0,19,139,,,,
,,19,139,0.039000362157821655,1.0,,
,,20,140,,,0.07041144371032715,0.9750000238418579
