validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.35319116711616516,0.9259259104728699,0,6,,,,
0.2492251992225647,1.0,1,13,,,,
0.1905902922153473,1.0,2,20,,,,
0.1488608568906784,1.0,3,27,,,,
0.13012388348579407,1.0,4,34,,,,
0.11596959084272385,1.0,5,41,,,,
0.11463717371225357,1.0,6,48,,,,
,,7,49,0.13887803256511688,0.9375,,
0.0894353985786438,1.0,7,55,,,,
0.07942752540111542,1.0,8,62,,,,
0.09243100881576538,1.0,9,69,,,,
0.07163332402706146,1.0,10,76,,,,
0.08148957788944244,1.0,11,83,,,,
0.05846028029918671,1.0,12,90,,,,
0.07011226564645767,1.0,13,97,,,,
,,14,99,0.10980729013681412,1.0,,
0.051739152520895004,1.0,14,104,,,,
0.09202507883310318,1.0,15,111,,,,
0.05211903527379036,1.0,16,118,,,,
0.044622402638196945,1.0,17,125,,,,
0.04175993427634239,1.0,18,132,,,,
0.039000362157821655,1.0,19,139,,,,
,,20,140,,,0.07041144371032715,0.9750000238418579
