train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
0.5330418944358826,0.7692307829856873,0,6,,,,
,,0,6,0.4600144028663635,0.9629629850387573,,
0.45695775747299194,0.7692307829856873,1,13,,,,
,,1,13,0.3121667802333832,1.0,,
0.19564996659755707,1.0,2,20,,,,
,,2,20,0.235499769449234,1.0,,
0.23605798184871674,1.0,3,27,,,,
,,3,27,0.18917910754680634,1.0,,
0.21672320365905762,0.9230769276618958,4,34,,,,
,,4,34,0.16254228353500366,0.9629629850387573,,
0.10625413805246353,1.0,5,41,,,,
,,5,41,0.13766492903232574,1.0,,
0.14503812789916992,0.9230769276618958,6,48,,,,
,,6,48,0.1250900775194168,1.0,,
0.11235985159873962,1.0,7,55,,,,
,,7,55,0.10917126387357712,1.0,,
0.14936567842960358,1.0,8,62,,,,
,,8,62,0.0950431153178215,1.0,,
0.19410578906536102,0.9230769276618958,9,69,,,,
,,9,69,0.08805347234010696,1.0,,
0.06840779632329941,1.0,10,76,,,,
,,10,76,0.08235117048025131,1.0,,
0.1679687201976776,0.9230769276618958,11,83,,,,
,,11,83,0.0735672116279602,1.0,,
0.10657627135515213,1.0,12,90,,,,
,,12,90,0.08088529855012894,1.0,,
0.1884162724018097,0.9230769276618958,13,97,,,,
,,13,97,0.07375302165746689,1.0,,
0.18827837705612183,0.9230769276618958,14,104,,,,
,,14,104,0.0663881003856659,1.0,,
0.13440680503845215,1.0,15,111,,,,
,,15,111,0.06722334772348404,1.0,,
0.1138462945818901,1.0,16,118,,,,
,,16,118,0.05631333962082863,1.0,,
0.16526558995246887,0.9230769276618958,17,125,,,,
,,17,125,0.076683908700943,1.0,,
0.10066867619752884,0.9230769276618958,18,132,,,,
,,18,132,0.05088023468852043,1.0,,
0.1021125465631485,0.9230769276618958,19,139,,,,
,,19,139,0.05687696114182472,1.0,,
,,20,140,,,0.06489568203687668,1.0
