validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.3952506482601166,0.8518518805503845,0,6,,,,
0.22037290036678314,1.0,1,13,,,,
0.16892026364803314,0.9629629850387573,2,20,,,,
0.14214718341827393,0.9629629850387573,3,27,,,,
0.1447388082742691,0.9629629850387573,4,34,,,,
0.1115536317229271,1.0,5,41,,,,
0.12562373280525208,0.9629629850387573,6,48,,,,
,,7,49,0.20466887950897217,0.9375,,
0.0907217413187027,1.0,7,55,,,,
0.10697045177221298,0.9629629850387573,8,62,,,,
0.0739360824227333,1.0,9,69,,,,
0.08628186583518982,1.0,10,76,,,,
0.06171382963657379,1.0,11,83,,,,
0.05588053911924362,1.0,12,90,,,,
0.052846767008304596,1.0,13,97,,,,
,,14,99,0.049085501581430435,1.0,,
0.0568380132317543,1.0,14,104,,,,
0.049878064543008804,1.0,15,111,,,,
0.0499282144010067,1.0,16,118,,,,
0.041987281292676926,1.0,17,125,,,,
0.04677119478583336,1.0,18,132,,,,
0.04774551838636398,1.0,19,139,,,,
,,20,140,,,0.06529858708381653,1.0
