validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.4179643988609314,1.0,0,6,,,,
0.2936621308326721,1.0,1,13,,,,
0.21477407217025757,0.9629629850387573,2,20,,,,
0.17250798642635345,1.0,3,27,,,,
0.14358560740947723,1.0,4,34,,,,
0.1270938664674759,1.0,5,41,,,,
0.11666982620954514,1.0,6,48,,,,
,,7,49,0.20939332246780396,0.9375,,
0.1032765731215477,1.0,7,55,,,,
0.08982741087675095,1.0,8,62,,,,
0.08080071210861206,1.0,9,69,,,,
0.10101928561925888,0.9629629850387573,10,76,,,,
0.07126247137784958,1.0,11,83,,,,
0.06637696921825409,1.0,12,90,,,,
0.07764402776956558,1.0,13,97,,,,
,,14,99,0.08770012855529785,1.0,,
0.05662089213728905,1.0,14,104,,,,
0.053952522575855255,1.0,15,111,,,,
0.05023758485913277,1.0,16,118,,,,
0.05149172991514206,1.0,17,125,,,,
0.047852516174316406,1.0,18,132,,,,
0.04184666648507118,1.0,19,139,,,,
,,20,140,,,0.07028748840093613,1.0
