train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.6264582276344299,0.6153846383094788,0,6,,
,,0,6,0.34034207463264465,0.9629629850387573
0.30295416712760925,0.9230769276618958,1,13,,
,,1,13,0.20649464428424835,1.0
0.1862453669309616,1.0,2,20,,
,,2,20,0.1579776555299759,1.0
0.3665413558483124,0.9230769276618958,3,27,,
,,3,27,0.1395070105791092,1.0
0.16719654202461243,0.9230769276618958,4,34,,
,,4,34,0.11226963251829147,1.0
0.35569873452186584,0.8461538553237915,5,41,,
,,5,41,0.11788933724164963,1.0
0.14373406767845154,0.9230769276618958,6,48,,
,,6,48,0.08769387006759644,1.0
0.20932084321975708,1.0,7,55,,
,,7,55,0.08330356329679489,1.0
0.24457970261573792,0.9230769276618958,8,62,,
,,8,62,0.12284063547849655,0.9629629850387573
0.13970579206943512,0.9230769276618958,9,69,,
,,9,69,0.0912790596485138,1.0
0.06345995515584946,1.0,10,76,,
,,10,76,0.06776387244462967,1.0
0.036385003477334976,1.0,11,83,,
,,11,83,0.06683488190174103,1.0
0.0857866108417511,1.0,12,90,,
,,12,90,0.06924205273389816,1.0
0.12155918776988983,0.9230769276618958,13,97,,
,,13,97,0.0689215436577797,1.0
0.12312760949134827,1.0,14,104,,
,,14,104,0.052481457591056824,1.0
0.03775747865438461,1.0,15,111,,
,,15,111,0.04904171824455261,1.0
0.1156759113073349,0.9230769276618958,16,118,,
,,16,118,0.055467668920755386,1.0
0.06966003030538559,1.0,17,125,,
,,17,125,0.04276066645979881,1.0
0.09464914351701736,1.0,18,132,,
,,18,132,0.06207443028688431,1.0
0.042852990329265594,1.0,19,139,,
,,19,139,0.039545461535453796,1.0
