train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
2.233574628829956,0.25999999046325684,0,79,,
,,0,79,2.2354843616485596,0.3095000088214874
2.1439571380615234,0.30000001192092896,1,159,,
,,1,159,2.131906270980835,0.34700000286102295
1.9384580850601196,0.46000000834465027,2,239,,
,,2,239,1.9633723497390747,0.36899998784065247
1.7200782299041748,0.4000000059604645,3,319,,
,,3,319,1.7214388847351074,0.4715000092983246
1.426594853401184,0.5799999833106995,4,399,,
,,4,399,1.4897626638412476,0.5634999871253967
1.2708581686019897,0.6499999761581421,5,479,,
,,5,479,1.3147687911987305,0.5575000047683716
1.2640081644058228,0.5899999737739563,6,559,,
,,6,559,1.1811903715133667,0.6035000085830688
1.0857572555541992,0.6000000238418579,7,639,,
,,7,639,1.0822463035583496,0.6259999871253967
1.004643440246582,0.6800000071525574,8,719,,
,,8,719,1.011460542678833,0.6299999952316284
0.9138223528862,0.699999988079071,9,799,,
,,9,799,0.955314576625824,0.6414999961853027
0.8838711380958557,0.6600000262260437,10,879,,
,,10,879,0.9095944166183472,0.6614999771118164
0.870928943157196,0.6399999856948853,11,959,,
,,11,959,0.8875240087509155,0.6349999904632568
0.8812904953956604,0.6899999976158142,12,1039,,
,,12,1039,0.8494939804077148,0.6675000190734863
0.8087379932403564,0.6700000166893005,13,1119,,
,,13,1119,0.8248767852783203,0.6830000281333923
0.8020111322402954,0.6399999856948853,14,1199,,
,,14,1199,0.8055558800697327,0.6865000128746033
0.7678228616714478,0.7099999785423279,15,1279,,
,,15,1279,0.7859725952148438,0.7020000219345093
0.7437318563461304,0.699999988079071,16,1359,,
,,16,1359,0.774134635925293,0.7014999985694885
0.8928512334823608,0.6700000166893005,17,1439,,
,,17,1439,0.7538906931877136,0.7179999947547913
0.7282034158706665,0.7599999904632568,18,1519,,
,,18,1519,0.7491812109947205,0.718999981880188
0.8863050937652588,0.6399999856948853,19,1599,,
,,19,1599,0.7399470806121826,0.7179999947547913
