train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.572220504283905,0.8461538553237915,0,6,,
,,0,6,0.48377445340156555,0.8888888955116272
0.4082542657852173,0.8461538553237915,1,13,,
,,1,13,0.3054502308368683,1.0
0.2887769639492035,0.9230769276618958,2,20,,
,,2,20,0.22248928248882294,1.0
0.2654625177383423,0.9230769276618958,3,27,,
,,3,27,0.18176651000976562,1.0
0.15845802426338196,1.0,4,34,,
,,4,34,0.1618923544883728,0.9629629850387573
0.22329284250736237,0.9230769276618958,5,41,,
,,5,41,0.13106690347194672,1.0
0.1681004911661148,0.9230769276618958,6,48,,
,,6,48,0.12293531000614166,1.0
0.4497871994972229,0.8461538553237915,7,55,,
,,7,55,0.11021551489830017,1.0
0.1513255387544632,1.0,8,62,,
,,8,62,0.0942482054233551,1.0
0.18710151314735413,1.0,9,69,,
,,9,69,0.08678116649389267,1.0
0.25023549795150757,0.9230769276618958,10,76,,
,,10,76,0.09179177135229111,1.0
0.1662932187318802,1.0,11,83,,
,,11,83,0.07348313927650452,1.0
0.10022445023059845,1.0,12,90,,
,,12,90,0.09762945771217346,1.0
0.06873926520347595,1.0,13,97,,
,,13,97,0.06259641796350479,1.0
0.07805563509464264,1.0,14,104,,
,,14,104,0.05873402953147888,1.0
0.1544286608695984,0.9230769276618958,15,111,,
,,15,111,0.07417836040258408,1.0
0.11043072491884232,0.9230769276618958,16,118,,
,,16,118,0.055763084441423416,1.0
0.03210999071598053,1.0,17,125,,
,,17,125,0.050905924290418625,1.0
0.02902137115597725,1.0,18,132,,
,,18,132,0.046176452189683914,1.0
0.08207794278860092,1.0,19,139,,
,,19,139,0.04460528492927551,1.0
