train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy
0.5156622529029846,0.8461538553237915,0,6,,
,,0,6,0.3837578296661377,0.8518518805503845
0.3252900242805481,0.9230769276618958,1,13,,
,,1,13,0.2261010855436325,1.0
0.3515836000442505,0.9230769276618958,2,20,,
,,2,20,0.1662055402994156,1.0
0.1786838173866272,1.0,3,27,,
,,3,27,0.1346808522939682,1.0
0.05864640325307846,1.0,4,34,,
,,4,34,0.11465005576610565,1.0
0.03771122917532921,1.0,5,41,,
,,5,41,0.10153206437826157,1.0
0.07659966498613358,1.0,6,48,,
,,6,48,0.09972446411848068,1.0
0.1229172870516777,1.0,7,55,,
,,7,55,0.08450816571712494,1.0
0.11761906743049622,0.9230769276618958,8,62,,
,,8,62,0.07714282721281052,1.0
0.10557301342487335,1.0,9,69,,
,,9,69,0.08070933073759079,1.0
0.029620297253131866,1.0,10,76,,
,,10,76,0.06595350801944733,1.0
0.06593471765518188,1.0,11,83,,
,,11,83,0.06241825222969055,1.0
0.06842736154794693,1.0,12,90,,
,,12,90,0.05634942650794983,1.0
0.20420295000076294,0.9230769276618958,13,97,,
,,13,97,0.0616840198636055,1.0
0.07755175232887268,1.0,14,104,,
,,14,104,0.049878910183906555,1.0
0.11933206021785736,0.9230769276618958,15,111,,
,,15,111,0.049500174820423126,1.0
0.2521553933620453,0.8461538553237915,16,118,,
,,16,118,0.10474919527769089,0.9629629850387573
0.03815501928329468,1.0,17,125,,
,,17,125,0.05279070511460304,1.0
0.03489181399345398,1.0,18,132,,
,,18,132,0.03978342190384865,1.0
0.028975270688533783,1.0,19,139,,
,,19,139,0.0358661487698555,1.0
