validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy,test_loss,test_accuracy
0.2999386191368103,0.9259259104728699,0,6,,,,
0.25587376952171326,0.8518518805503845,1,13,,,,
0.1695588082075119,0.9629629850387573,2,20,,,,
0.16492462158203125,0.9629629850387573,3,27,,,,
0.1607176959514618,0.9259259104728699,4,34,,,,
0.1268429011106491,0.9629629850387573,5,41,,,,
0.10083703696727753,0.9629629850387573,6,48,,,,
,,7,49,0.22360461950302124,0.875,,
0.09129646420478821,1.0,7,55,,,,
0.0762169361114502,1.0,8,62,,,,
0.10317973047494888,1.0,9,69,,,,
0.08153513073921204,1.0,10,76,,,,
0.06531111150979996,1.0,11,83,,,,
0.0633317083120346,1.0,12,90,,,,
0.05437735095620155,1.0,13,97,,,,
,,14,99,0.031693849712610245,1.0,,
0.06309451907873154,1.0,14,104,,,,
0.055533215403556824,1.0,15,111,,,,
0.057169824838638306,1.0,16,118,,,,
0.04295892268419266,1.0,17,125,,,,
0.040997933596372604,1.0,18,132,,,,
0.038691096007823944,1.0,19,139,,,,
,,20,140,,,0.06813864409923553,0.9750000238418579
