train_loss,train_accuracy,epoch,step,validation_loss,validation_accuracy,test_loss,test_accuracy
0.3987176716327667,0.692307710647583,0,6,,,,
,,0,6,0.2815869450569153,0.9629629850387573,,
0.3448920249938965,1.0,1,13,,,,
,,1,13,0.20203152298927307,0.9629629850387573,,
0.1691945344209671,1.0,2,20,,,,
,,2,20,0.1508505493402481,0.9629629850387573,,
0.225489541888237,0.9230769276618958,3,27,,,,
,,3,27,0.13606682419776917,0.9629629850387573,,
0.14328338205814362,1.0,4,34,,,,
,,4,34,0.11301306635141373,1.0,,
0.24308815598487854,0.8461538553237915,5,41,,,,
,,5,41,0.09493368864059448,1.0,,
0.10900051891803741,1.0,6,48,,,,
,,6,48,0.0951717421412468,1.0,,
0.10243292152881622,1.0,7,55,,,,
,,7,55,0.08526147902011871,1.0,,
0.10072808712720871,1.0,8,62,,,,
,,8,62,0.08040744811296463,1.0,,
0.2135659158229828,0.8461538553237915,9,69,,,,
,,9,69,0.06811844557523727,1.0,,
0.05767350643873215,1.0,10,76,,,,
,,10,76,0.06437509506940842,1.0,,
0.1857987344264984,0.9230769276618958,11,83,,,,
,,11,83,0.06131070479750633,1.0,,
0.12383437156677246,0.9230769276618958,12,90,,,,
,,12,90,0.07264291495084763,1.0,,
0.04722404479980469,1.0,13,97,,,,
,,13,97,0.0527275949716568,1.0,,
0.2581804096698761,0.8461538553237915,14,104,,,,
,,14,104,0.0798359215259552,1.0,,
0.04256673902273178,1.0,15,111,,,,
,,15,111,0.046192385256290436,1.0,,
0.2267303466796875,0.9230769276618958,16,118,,,,
,,16,118,0.04365988075733185,1.0,,
0.10763265192508698,1.0,17,125,,,,
,,17,125,0.04391610249876976,1.0,,
0.08792413771152496,1.0,18,132,,,,
,,18,132,0.05153312534093857,1.0,,
0.1103072538971901,0.9230769276618958,19,139,,,,
,,19,139,0.040282297879457474,1.0,,
,,20,140,,,0.08094512671232224,0.949999988079071
